wavelength,1,2,3,4,5,6,7,8,9,10
578.917,94,61,43,34,28,20,15,17,9,6
579.39,97,64,43,37,29,17,18,15,10,8
579.862,89,58,37,34,21,16,11,11,7,2
580.335,95,64,42,35,28,21,16,11,10,9
580.808,92,61,41,35,27,19,18,15,7,8
581.281,94,60,43,38,28,26,15,13,10,7
581.754,90,59,37,36,27,21,14,18,11,6
582.227,91,60,41,38,24,23,16,18,8,10
582.7,86,59,38,34,26,20,13,12,8,6
583.173,84,54,38,34,29,14,14,16,9,4
583.646,85,55,39,32,25,18,13,13,8,6
584.119,80,54,38,29,23,16,14,9,6,4
584.592,83,58,36,31,24,20,12,12,7,4
585.065,84,57,39,33,26,18,16,11,7,7
585.538,83,53,33,31,22,13,15,10,9,4
586.012,83,56,31,29,22,19,16,14,12,9
586.485,71,48,32,21,17,11,6,7,3,-1
586.958,71,50,32,27,18,14,9,5,1,-1
587.432,74,53,31,29,20,11,8,6,6,6
587.905,77,53,33,28,25,18,16,15,10,3
588.378,77,53,33,27,23,17,12,12,10,6
588.852,72,52,32,28,19,15,13,11,10,6
589.325,75,50,38,31,25,19,16,15,10,8
589.799,77,47,31,28,23,17,13,10,10,8
590.273,78,49,34,25,20,17,13,9,4,8
590.746,74,52,30,22,19,19,11,10,8,2
591.22,70,45,31,28,19,16,14,11,8,4
591.694,70,46,25,25,18,15,12,11,2,4
592.167,69,41,29,25,18,15,9,8,4,4
592.641,71,47,29,27,18,13,9,9,6,5
593.115,72,48,28,26,18,17,15,9,10,5
593.589,71,43,27,23,20,14,9,5,2,4
594.063,63,42,25,23,14,10,10,4,4,2
594.537,70,47,27,20,21,12,10,12,3,2
595.011,72,45,33,24,19,12,12,14,8,5
595.485,70,40,32,24,20,14,17,13,5,6
595.959,75,43,27,25,20,13,12,11,9,4
596.433,62,42,22,16,16,10,4,10,7,-2
596.907,65,40,29,24,19,14,9,6,7,6
